Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,positive
M,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,positive
I,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,positive
F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,negative
M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,negative
F,0.515,0.425,0.135,0.712,0.2665,0.1605,0.25,negative
M,0.5,0.41,0.15,0.662,0.2815,0.137,0.22,negative
M,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,negative
F,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,negative
I,0.555,0.425,0.18,0.875,0.3695,0.2005,0.255,negative
F,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,negative
I,0.58,0.445,0.15,0.8865,0.383,0.209,0.255,negative
F,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,negative
F,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33,negative
M,0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,negative
M,0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214,negative
M,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,negative
F,0.54,0.42,0.14,0.805,0.369,0.1725,0.21,negative
M,0.6,0.495,0.175,1.29,0.606,0.276,0.3445,negative
F,0.695,0.56,0.22,1.834,0.8455,0.422,0.455,negative
F,0.64,0.5,0.17,1.5175,0.693,0.326,0.409,negative
M,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,negative
F,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,negative
F,0.66,0.53,0.185,1.346,0.546,0.2705,0.476,negative
M,0.735,0.585,0.185,2.124,0.952,0.55,0.5,negative
I,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,negative
I,0.565,0.44,0.175,0.8735,0.414,0.21,0.21,negative
M,0.6,0.48,0.155,1.014,0.451,0.1885,0.325,negative
M,0.6,0.46,0.155,0.9595,0.4455,0.189,0.295,negative
I,0.605,0.435,0.13,0.9025,0.432,0.174,0.26,negative
M,0.645,0.525,0.16,1.5075,0.7455,0.245,0.4325,negative
M,0.65,0.525,0.175,1.5365,0.6865,0.3585,0.405,negative
F,0.61,0.485,0.17,1.1005,0.5125,0.229,0.305,negative
M,0.63,0.48,0.15,1.271,0.6605,0.2425,0.31,negative
M,0.75,0.55,0.18,1.893,0.942,0.397,0.445,negative
F,0.605,0.505,0.18,1.434,0.7285,0.264,0.431,negative
M,0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,negative
M,0.735,0.59,0.215,1.747,0.7275,0.403,0.557,negative
F,0.61,0.475,0.15,1.1135,0.5195,0.2575,0.3005,negative
M,0.635,0.495,0.195,1.172,0.445,0.3115,0.3475,negative
M,0.615,0.47,0.145,1.0285,0.4435,0.2825,0.285,negative
F,0.62,0.495,0.17,1.062,0.372,0.213,0.34,negative
F,0.675,0.51,0.185,1.473,0.6295,0.3025,0.4245,negative
M,0.72,0.565,0.19,2.081,1.0815,0.4305,0.503,negative
F,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,negative
M,0.58,0.47,0.165,0.927,0.3215,0.1985,0.315,negative
M,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,negative
M,0.59,0.49,0.135,1.008,0.422,0.2245,0.285,negative
M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,negative
F,0.61,0.485,0.165,1.087,0.4255,0.232,0.38,negative
F,0.64,0.5,0.18,1.4995,0.593,0.314,0.431,negative
F,0.635,0.495,0.195,1.297,0.556,0.2985,0.37,negative
M,0.63,0.505,0.15,1.3165,0.6325,0.2465,0.37,negative
M,0.68,0.52,0.165,1.4775,0.724,0.279,0.406,negative
M,0.68,0.53,0.18,1.529,0.7635,0.3115,0.4025,negative
F,0.725,0.53,0.19,1.7315,0.83,0.398,0.405,negative
M,0.75,0.555,0.215,2.201,1.0615,0.5235,0.5285,negative
I,0.555,0.435,0.145,0.6975,0.262,0.1575,0.24,negative
M,0.695,0.54,0.195,1.691,0.768,0.363,0.4755,negative
M,0.58,0.445,0.15,0.9525,0.4315,0.1945,0.287,negative
F,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,negative
F,0.625,0.5,0.16,1.217,0.5725,0.207,0.355,negative
M,0.635,0.515,0.16,1.2075,0.5385,0.282,0.345,negative
M,0.65,0.505,0.17,1.5595,0.695,0.3515,0.395,negative
F,0.68,0.56,0.195,1.664,0.58,0.3855,0.545,negative
F,0.755,0.575,0.2,2.073,1.0135,0.4655,0.48,negative
F,0.52,0.43,0.15,0.728,0.302,0.1575,0.235,negative
F,0.47,0.375,0.105,0.513,0.232,0.142,0.13,negative
I,0.51,0.405,0.12,0.61,0.229,0.131,0.235,negative
M,0.565,0.44,0.115,0.9185,0.404,0.1785,0.29,negative
M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,negative
M,0.5,0.4,0.145,0.6025,0.216,0.138,0.21,negative
F,0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185,negative
F,0.495,0.375,0.15,0.597,0.2615,0.135,0.178,negative
I,0.49,0.385,0.14,0.5425,0.198,0.127,0.175,negative
F,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,negative
M,0.66,0.515,0.2,1.6465,0.749,0.422,0.401,negative
M,0.615,0.475,0.155,1.0735,0.4375,0.2585,0.31,negative
F,0.585,0.42,0.155,1.034,0.437,0.2225,0.32,negative
F,0.67,0.51,0.155,1.278,0.5605,0.3045,0.358,negative
M,0.705,0.55,0.21,1.4385,0.655,0.3255,0.462,negative
F,0.705,0.56,0.17,1.4575,0.607,0.318,0.44,negative
M,0.68,0.52,0.175,1.543,0.7525,0.351,0.374,negative
I,0.54,0.4,0.145,0.757,0.315,0.181,0.215,negative
F,0.68,0.55,0.19,1.807,0.8225,0.3655,0.515,negative
I,0.56,0.44,0.155,0.811,0.3685,0.178,0.235,negative
F,0.635,0.485,0.155,1.073,0.467,0.1975,0.35,negative
F,0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48,negative
M,0.67,0.535,0.19,1.669,0.7465,0.2935,0.508,negative
F,0.585,0.475,0.165,1.053,0.458,0.217,0.3,negative
F,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381,negative
M,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,negative
M,0.645,0.51,0.155,1.539,0.6405,0.3585,0.43,negative
M,0.71,0.56,0.22,2.015,0.9215,0.454,0.566,negative
M,0.62,0.49,0.16,1.035,0.44,0.2525,0.285,negative
F,0.645,0.5,0.2,1.4285,0.639,0.305,0.36,negative
F,0.44,0.345,0.105,0.4285,0.165,0.083,0.132,negative
F,0.66,0.525,0.2,1.463,0.6525,0.2995,0.422,negative
I,0.52,0.41,0.14,0.6625,0.2775,0.1555,0.196,negative
I,0.52,0.395,0.115,0.6445,0.3155,0.1245,0.186,negative
I,0.58,0.425,0.145,0.83,0.379,0.1605,0.2575,negative
I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,positive
I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,positive
M,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,positive
I,0.16,0.11,0.025,0.018,0.0065,0.0055,0.005,positive
I,0.24,0.175,0.065,0.0665,0.031,0.0135,0.017,positive
I,0.14,0.105,0.035,0.014,0.0055,0.0025,0.004,positive
I,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009,positive
M,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,positive
I,0.165,0.12,0.05,0.021,0.0075,0.0045,0.014,positive
I,0.215,0.15,0.055,0.041,0.015,0.009,0.0125,positive
I,0.205,0.155,0.045,0.0495,0.0235,0.011,0.014,positive
I,0.195,0.15,0.045,0.0375,0.018,0.006,0.011,positive
